Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Missed family event,Family,Medium,Apologetic,"My phone battery died and I didn't have a charger with me, I was stuck trying to find one before it was too late.",2
Missed family event,Family,Low,Emotional,"I regret missing the family birthday party, I was exhausted from working late the night before and just needed a day to recharge.",3
Missed meeting,Professional,Medium,Casual,"I got held up at the coffee shop next door, they were having some technical issues and I couldn't leave until it was resolved.",4
Didn’t attend family dinner,Family,High,Formal,"I had to take my sick pet to the vet and the appointment ran longer than expected, leaving me no time to get to family dinner.",3
Missed meeting,Professional,Low,Apologetic,I was dealing with a family emergency that popped up out of nowhere and completely threw off my schedule.,2
Cancelled plans,Friend,Medium,Formal,"I'm so sorry, but I had to cancel our plans at the last minute because my car's transmission gave out on me.",3
Missed exam,Academic,Medium,Apologetic,"My car broke down on my way to school and I was stuck in a long line at the mechanic's shop, I'm really sorry that I couldn't make it to class.",4
Didn’t attend family dinner,Family,Medium,Formal,"I received an unexpected phone call from my doctor's office regarding a test result, and I needed to discuss it with them immediately.",3
Missed exam,Academic,Medium,Casual,I got lost in the library trying to find a book for another assignment and totally lost track of time.,3
Missed exam,Academic,High,Formal,I suffered a minor injury while jogging early that morning and couldn't leave my apartment without seeking medical attention.,5
Missed meeting,Professional,Medium,Emotional,"I had a family emergency that I didn't anticipate and I got held up dealing with it, which made me miss the meeting.",2
Missed meeting,Professional,Medium,Casual,"My alarm clock didn't go off, I overslept by a few minutes and didn't have time to rush to the meeting.",3
Missed exam,Academic,High,Casual,"I accidentally got my days mixed up and thought the exam was tomorrow, not today.",5
Cancelled date,Romantic,High,Formal,A severe storm warning has been issued for our area and I don't feel comfortable venturing out in potentially hazardous weather.,4
Forgot anniversary,Romantic,Low,Apologetic,"I was feeling overwhelmed with errands and forgot to take a break to even think about the anniversary, let alone make plans for it.",1
Cancelled plans,Friend,Medium,Apologetic,"I was all set to meet you tonight until my neighbor asked me to watch their place while they're away, and I couldn't say no.",4
Forgot birthday,Friend,High,Formal,"I know this isn't an excuse, but the stress of finals week got the better of me, and I'm still trying to catch up on my reading list from last semester.",4
Late to class,Academic,High,Formal,"I stopped to help a fellow student who was struggling to carry their heavy backpack up the stairs, losing precious minutes in the process.",3
Forgot anniversary,Romantic,Low,Formal,"It appears that your birthday and our anniversary got jumbled up in my memory, I hope you can forgive me this one time mishap.",3
Cancelled plans,Friend,Medium,Casual,My grandma is in the hospital and my family needs me to be there for her recovery.,2
Late to class,Academic,High,Apologetic,The subway was delayed due to a technical issue and I missed my transfer by a few minutes.,5
Missed family event,Family,High,Casual,My kid got sick at school and I had to take them to the doctor instead of coming to celebrate with everyone else.,5
Late to class,Academic,Medium,Apologetic,My car broke down this morning and I had to wait for roadside assistance to arrive before I could leave.,3
Missed family event,Family,Medium,Emotional,"I feel awful for missing our family picnic, but I had a major project deadline at work that I just couldn't meet without putting in some extra time tonight.",4
Missed family event,Family,Medium,Casual,I was helping a neighbor move some heavy furniture and lost track of time.,3
Missed exam,Academic,High,Casual,I was really struggling with anxiety this morning and just needed some extra time to collect myself before heading out.,4
Missed meeting,Professional,Low,Emotional,"I had to take an impromptu call from my mom, she's been having some health issues lately and I just needed to talk it out with her real quick.",1
Cancelled date,Romantic,High,Emotional,"My car broke down on the way home from work, and I need to deal with it before I can even think about meeting up with you.",3
Late to class,Academic,Medium,Casual,"I was waiting for a ride from my friend who was running behind schedule, but they just pulled up as I was walking to class.",2
Missed exam,Academic,Medium,Apologetic,"I've been dealing with some personal issues and didn't have the mental energy to prepare for or show up to the exam, I feel terrible about it.",2
Didn’t attend family dinner,Family,High,Formal,"I was dealing with a personal matter that required my attention during that time, and I couldn't leave my home without disrupting the situation further.",5
Forgot birthday,Friend,High,Formal,"In all honesty, I was so caught up in planning your surprise party that I forgot the actual date â€“ I know, it sounds crazy, but we'll get to that soon!",3
Missed meeting,Professional,Low,Apologetic,"The train I took had some kind of mechanical issue and we got stuck at the station for like 20 minutes, causing me to miss my connection.",2
Late project submission,Professional,High,Casual,"One of my team members dropped everything to help me out, but they got held up with another priority task and we couldn't finish the project in time.",4
Missed family event,Family,Medium,Emotional,"I regret missing our family holiday dinner so much, but my pipes burst at home and I had to deal with the aftermath before I could even think about leaving.",4
Cancelled plans,Friend,Low,Formal,One of my family members is in the hospital and I need to be there for support.,1
Late project submission,Professional,Medium,Emotional,"I was trying to perfect the final touches, but it took me longer than expected to get everything just right.",4
Cancelled date,Romantic,High,Casual,Something unexpected came up at home and I need to take care of it right away.,3
